NatEmis,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,Latitude,Longitude,GISSource1,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
971104501,9,LP,BOITSHEPO PRE S,BOITSHEPO PRE S,OPEN,OFFICIALLY CLOSED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.38351,-24.58195,NEIMS 2007,-24.58195,27.38351,NEIMS 2007,D,,8,THABAZIMBI,DC36,WATERBERG DISTRICT MUNICIPALITY,LIM361,THABAZIMBI LOCAL MUNICIPALITY,93601010,10,TO BE UPDATED,TO BE UPDATED,WESTERN,WATERBERG,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,SHAI,,SHAI,,REGOROGILE,WATERBERG,,"SHAI,REGOROGILE,WATERBERG,",P.O.BOX 150,THABAZIMBI,0380,"P.O.BOX 150,THABAZIMBI,0380",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,,,,,,,,,,,,,,,,,,,,
600140080,6,NW,BOITSHOKO COMMUNITY CRECHE,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,DR KENNETH KAUNDA,POTCHEFSTROOM,TO BE UPDATED,,,,,,,,TO BE UPDATED,HARTEBEESFONTEIN,,,,,P.O.BOX 436,,2600,TO BE UPDATED,,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
600140030,6,NW,BOITSHOKO ELC,BOITSHOKO,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,21,4,9,,,,,,,,,,
443104856,4,FS,BOITUMELO CRECHE,BOITUMELO,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,25.25453,-29.07677,FSED 2007,-29.07677,25.25453,FSED 2007,D,,309,PETRUSBURG,DC16,XHARIEP DISTRICT MUNICIPALITY,FS161,LETSEMENG LOCAL MUNICIPALITY,41601003,3,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,XHARIEP,CIRCUIT 14,3/29/2012 3:37:03 PM,UNKNOWN,M,MODUTEWANE,85,MOTHIBI,STREET,85 MOTHIBI STREET,PETRUSBURG,PETRUSBURG,PETRUSBURG,9932,"85 MOTHIBI STREET,BOLOKANANG,PETRUSBURG,9932",P.O.BOX 339,"BOLOKANANG,PETRUSBURG",9932,"P.O.BOX 339,BOLOKANANG,PETRUSBURG,9932",,0849933560,Urban,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
975504505,9,LP,BOITUMELO CREECHE,BOITUMELO,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOPANI,THABINA,,,THE,MANAGER,,,,TO BE UPDATED,,,,857,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,686,14,,,,,,,,,0,,
445203423,4,FS,BOITUMELO DAY CARE,BOITUMELO,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.00491,-29.58913,FSED 2007,-29.58913,27.00491,FSED 2007,D,,343,WEPENER,DC17,MOTHEO DISTRICT MUNICIPALITY,FS171,NALEDI LOCAL MUNICIPALITY,41701002,2,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOTHEO,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,,Z. MARUMO,146,PHAHAMENG,LOCATION,146 PHAHAMENG LOCATION,NALEDI RURAL,NALEDI RURAL,NALEDI,9945,"146 PHAHAMENG LOCATION,NALEDI RURAL,NALEDI RURAL,NALEDI,9945",P.O.BOX 53,VAN STADENSRUS,9945,"P.O.BOX 53,VAN STADENSRUS,9945",0515841111,,Urban,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,91,4,28,,,,,,,,,,
974402210,9,LP,BOITUMELO DAY CARE CENTRE,BOITUMELO,OPEN,CLOSED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,BA-PHALABORWA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,NAMAKGALE,,NAMAKGALE,PHOLONG SCORE,,,1467,"NAMAKGALE ,PHOLONG SCORE,1467",P.O.BOX 9799,NAMAKGALE,1391,"P.O.BOX 9799,NAMAKGALE,1391",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
974402332,9,LP,BOITUMELO DAY CARE CENTRE,BOITUMELO,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,105,12,16,,,,,,,,,,
700700320,7,GT,BOITUMELO ELC,BOITUMELO ELC,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,EKURHULENI SOUTH,NOT APPLICABLE,,,,,424,,,PHAAKE SECTION,KATHLEHONG,GERMISTON,EKURHULENI,1431,,,,,TO BE UPDATED,0119057389,0828300058,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
700251249,7,GT,BOITUMELO PRE-PRIMARY,BOITUMELO,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ORDINARY SCHOOL,PRIVATE,PRIVATE,DEPARTMENT OF EDUCATION AND TRAINING(DET),TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,265,POTCHEFSTROOM,DC40,SOUTHERN DISTRICT MUNICIPALITY,NW405,MERAFONG CITY LOCAL MUNICIPALITY,TO BE UPDATED,99,68806001,POTCHEFSTROOM NU,NOT APPLICABLE,JOHANNESBURG WEST,NOT APPLICABLE,,TO BE UPDATED,THE,MANAGER,,,,MOEOENG STREET,,,,,,P.O.BOX 191,DOBSONVILLE,1865,"P.O.BOX 191,DOBSONVILLE,1865",0119881011,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,720,20,72,,,,,,,,,,
600105289,6,NW,BOKAMOSO ABET CENTRE,,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,ABET,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,BOJANALA,MOSES KOTANE EAST,TO BE UPDATED,,,,,,,,TO BE UPDATED,,,,0314,,P.O.BOX 1434,MOGWASE,,TO BE UPDATED,0145590072,0783456305,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
972204514,9,LP,BOKAMOSO DAY CARE,BOKAMOSO,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,SEPITSI,,,THE,MANAGER,,MARALALENG,,MARALALENG,POLOKWANE,,,745,"MARALALENG ,POLOKWANE,745",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,40,4,,,,,,,,,0,,
700700321,7,GT,BOKAMOSO DAY CARE,BOKAMOSO DAY CARE,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,EKURHULENI SOUTH,NOT APPLICABLE,,,,,2012,,,CNR MABUYA & KHUMALO,THOKOZA,ALBERTON,EKURHULENI,1426,,,,,TO BE UPDATED,,0835927530,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,13/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,
971102119,9,LP,BOKAMOSO DAY CARE CENTRE,BOKAMOSO,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,WATERBERG,MAHWELERENG,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,166,8,29,,,,,,,,0,,
976605608,9,LP,BOKAMOSO PRE SCHOOL,BOKAMOSO,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,GLENCOWIE,1061,"GLENCOWIE,1061",P.O.BOX 228,GLENCOWIE,1061,"P.O.BOX 228,GLENCOWIE,1061",,0733633294,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,60,8,12,,,,,,,,,,
800001263,8,MP,BOKANG PRE PRIMARY SCHOOL,BOKANG,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PRIVATE,TO BE UPDATED,BOPHUTATSWANA(BOP),301301,301301,800001263,99,NOT APPLICABLE,28.7059,-25.01595,NEIMS 2007,-25.01595,28.7059,NEIMS 2007,D,,207,MORETELE,DC31,NKANGALA DISTRICT MUNICIPALITY,MP316,DR JS MOROKA LOCAL MUNICIPALITY,83106025,25,TO BE UPDATED,TO BE UPDATED,NKANGALA,NOT APPLICABLE,NOKANENG,,TO BE UPDATED,L .M,MOTSHOANE,,,,STAND NO 2823,,,SEABE,417,"SEABE,0417",P.O.BOX 79,SEABE,0417,"P.O.BOX 79,SEABE,0417",0724228951,0782877598,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/05/1996,,,,,,,,,,,,,,19,2,,,,,,,,,,,
971101332,9,LP,BOKANKATLA PRE SCHOOL,BOKANKATLA,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,WATERBERG,MATLALANE,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,76,4,,,,,,,,,0,,
971102138,9,LP,BOLEDI B CRECHE,BOLEDI B,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,WATERBERG,MAHWELERENG,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,500,8,,,,,,,,,0,,
976604523,9,LP,BOLEDI CRECHE,BOLEDI,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,MOROKE,,,THE,MANAGER,,MOROKESEKHUTLONG,VILLAGE,MOROKESEKHUTLONG VILLAGE,MAGALAKA,,,1129,"MOROKESEKHUTLONG VILLAGE,MAGALAKA,1129",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,50,4,,,,,,,,,0,,
921121563,9,LP,BOLEDI PRE-PRIMARY,BOLEDI,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC36,WATERBERG DISTRICT MUNICIPALITY,LIM367,MOGALAKWENA LOCAL MUNICIPALITY,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOGALAKWENA,POTGIETERSRUS,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,PRIVATE BAG X 2493,,0600,"PRIVATE BAG X 2493,0600",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,,,,,,,,,,,,,,,,,,,,
444306802,4,FS,BOLLIE KLEUTERSKOOL,BOLLIE,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,200402,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,FEZILE DABI,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,,SWANEPOEL WJ,,,,CRONJESTR 2,,,,9520,,P.O.BOX 812,VILJOENSKROON,9520,"P.O.BOX 812,VILJOENSKROON,9520",0563432614,0834035085,Urban,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
975501204,9,LP,BOLOBEDU HLANGANANI DAY CARE CENTRE,BOLOBEDU HLANGANANI,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOPANI,MODJADJI,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,318,6,,,,,,,,,0,,
975504316,9,LP,BOLOKANANG EDUCARE,BOLOKANANG,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOPANI,MAKHUTSWE,,,THE,MANAGER,,MOETLADIMO,,MOETLADIMO,,,,891,MOETLADIMO891,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,219,12,31,,,,,,,,0,,
700700482,7,GT,BONANG DAY ACRE CENTRE,BONANG DAY ACRE CENTRE,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,TSHWANE NORTH,NOT APPLICABLE,,,,,6247,,,UNIT 7,TEMBA,HAMMANSKRAAL,TSHWANE,407,,,,,TO BE UPDATED,,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,13/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,
700890089,7,GT,BONANG DAYCARE CENTRE,BONANG,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,SEDIBENG WEST,NOT APPLICABLE,,,,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,
976602107,9,LP,BONANG LESEDI CRECHE,LESEDI LA MABATSIBI,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,BOGWASHA,,,THE,MANAGER,,DRESDEN,VILLAGE,DRESDEN VILLAGE,DRESDEN,,BURGERSFORT,1150,"DRESDEN VILLAGE,DRESDEN,,BURGERSFORT,1150",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,110,2,,,,,,,,,0,,
