NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Dinaledi_Schools,Quids_Up_School,NEIMSEMISN,DEM_CHKS,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
800032284,800032284,8,MP,GRACE PRE PRIMARY SCHOOL,GRACE,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,30.79886,-26.05544,NEIMS 2007,20,EERSTEHOEK,DC30,GERT SIBANDE DISTRICT MUNICIPALITY,MP301,ALBERT LUTHULI LOCAL MUNICIPALITY,83001014,14,TO BE UPDA,TO BE UPDATED,GERT SIBANDE,NOT APPLICABLE,MASHISHILA,S. M,SITHOLE,,,,,,EERSTEHOEK,BADPLAAS,1192,"EERSTEHOEK,BADPLAAS,1192",P.O.BOX 80,ELUKWATINI,1192,"P.O.BOX 80,ELUKWATINI,1192",0765770398,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,20-Aug-02,0,FALSE,FALSE,MP800032284,0,TO BE UPDATED,55,,,50,98,,,,FALSE,,,
700120535,120535,7,GT,GRACELAND NURSERY SCHOOL,GRACE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,28.06359,-26.23713,GEOCODED,201,RUSTENBURG,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400057,57,60319011,MODDERFONTEIN SH,NOT APPLICABLE,JOHANNESBURG WEST,NOTAPPLICABLE,THE,MENDES,12,NORTH,ROAD,12 NORTH ROAD,,UNIGRAY,JOHANNESBURG,2197,"12 NORTH ROAD,UNIGRAY,JOHANNESBURG,2197",POST OFFICE 2197,TOWNSVIEW,2197,"POST OFFICE 2197,TOWNSVIEW,2197",0114351309,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
700341875,341875,7,GT,GRACELAND VILLAGE,GRACELAND,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,28.508,-26.43633,GEOCODED,275,NIGEL,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300088,88,77321001,ALRA PARK,NOT APPLICABLE,GAUTENG EAST,NOTAPPLICABLE,G,NKOSI,4,NEVADASENTUMEVLOER,,4 NEVADASENTUMEVLOER ,,ALRA PARK,ALBERTON,1450,"4 NEVADASENTUMEVLOER ,ALRA PARK,ALBERTON,1450",PRIVATE BAG X03,ALBERTON,1450,"PRIVATE BAG X03,ALBERTON,1450",0118690285,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
800035305,35305,8,MP,GRANNY'S GRANARY,GRANNY'S,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP322,MBOMBELA LOCAL MUNICIPALITY,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,EHLANZENI,NOT APPLICABLE,WHITEHAZY,THE,KESUKAZI,,,,,,,,,,P.O.BOX 5687,NELSPRUIT,1200,"P.O.BOX 5687,NELSPRUIT,1200",0137983205,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,29-Dec-06,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,50,,,,65,1,81,,FALSE,,,
800034565,800034565,8,MP,GRASKOP PRE-SCHOOL,GRASKOP,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,30.83497,-24.9292,NEIMS 2007,16,PELGRIMSRUS,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP321,THABA CHWEU LOCAL MUNICIPALITY,83201010,10,TO BE UPDA,TO BE UPDATED,EHLANZENI,NOT APPLICABLE,SABIE,THE,MANAGER,,GRASKOP,, GRASKOP ,,,,1270," GRASKOP ,1270",PRIVATE BAG X 407,GRASKOP,1270,"PRIVATE BAG X 407,GRASKOP,1270",0137671209,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,MP800034565,0,TO BE UPDATED,,,,32,22,,19,1,FALSE,,,
105007626,0105007626,1,WC,GRASSY PARK ISLAMIC EDUCARE.,GRASSY PARK ISLAMIC,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.499274,-34.044215,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100065,65,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT4,G,FISHER,,COMISROLEANDELIZABETH,ROAD, COMISROLEANDELIZABETH ROAD,,GRASSY PARK,WYNBERG,7941," COMISROLEANDELIZABETH ROAD,GRASSY PARK,WYNBERG,7941",POST OFFICE 7941,GRASSY PARK,7941,"POST OFFICE 7941,GRASSY PARK,7941",0217062972,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,27,,,,,,,,FALSE,,,
105003335,0105003335,1,WC,GRASSY PARK NURSERY SCHOOL,GRASSY PARK,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.498404,-34.051794,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100067,67,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT3,J,ARNOLDUS,122,SEVENTH,AVENUE,122 SEVENTH AVENUE,,GRASSY PARK,WYNBERG,7945,"122 SEVENTH AVENUE,GRASSY PARK,WYNBERG,7945",P.O.BOX 44,GRASSY PARK,8000,"P.O.BOX 44,GRASSY PARK,8000",0217062583,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,58,,,43,,,,,FALSE,,,
130007627,0130007627,1,WC,GRATITUDE CATHOLIC PRE-PRIM,GRATITUDE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,19.43962,-33.64326,GEOCODED,174,WORCESTER,DC3,OVERBERG DISTRICT MUNICIPALITY,WC025,BREEDE VALLEY LOCAL MUNICIPALITY,10205012,12,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,CAPE WINELANDS,CIRCUIT4,I,DE VILLIERS,5,PORTER,,5 PORTER ,,,WORCESTER,6870,"5 PORTER ,WORCESTER,6870",POST OFFICE 6850,WORCESTER,6850,"POST OFFICE 6850,WORCESTER,6850",0233477035,RURAL,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,104,1,,106,112,4,110,6,FALSE,,,
104007628,0104007628,1,WC,GREEN CURTAINS EDUCARE.,GREEN CURTAINS,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.355162,-34.143683,TELKOM 2009,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100061,61,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT2,L,DANIELS,6,SWALLOW,STREET,6 SWALLOW STREET,,OCEAN VIEW,KOMMETJIE,7975,"6 SWALLOW STREET,OCEAN VIEW,KOMMETJIE,7975",P.O.BOX 22465,FISH HOEK,7975,"P.O.BOX 22465,FISH HOEK,7975",0217833577,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,41,4,,,105,,FALSE,,,
700130419,130419,7,GT,GREEN PARK NURSERY SCHOOL,GREEN PARK,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,28.015676,-26.143438,TELKOM 2009,201,RUSTENBURG,DC37,BOJANALA DISTRICT MUNICIPALITY,NW373,RUSTENBURG LOCAL MUNICIPALITY,79400087,87,60319023,RUSTENBURG NU,NOT APPLICABLE,TO BE UPDATED,NOTAPPLICABLE,THE,TINDALE,9,FIFTH,STREET,9 FIFTH STREET,,PARKHURST,JOHANNESBURG,2034,"9 FIFTH STREET,PARKHURST,JOHANNESBURG,2034",P.O.BOX 84054,GREENSIDE,2034,"P.O.BOX 84054,GREENSIDE,2034",0114429128,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
200801870,801870,2,EC,GREEN PASTURES PRESCHOOL,GREEN PASTURES,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC13,CHRIS HANI DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,STERKSPRUIT,TO BE UPDATED,THE,MANAGER,,,,,,,,,,TO BE UPDATED,TO BE UPDATED,,"TO BE UPDATED,TO BE UPDATED,",TO BE UPDATED,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01-Mar-07,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
104006007,0104006007,1,WC,GREENACRES PREPRIM.,GREENACRES,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.381702,-34.108939,TELKOM 2009,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100069,69,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT5,MS. M,DE ROOY,55,SEA COTTAGE,DRIVE,55 SEA COTTAGE DRIVE,,,NOORDHOEK,7979,"55 SEA COTTAGE DRIVE,NOORDHOEK,7979",P.O.BOX 201,NOORDHOEK,7979,"P.O.BOX 201,NOORDHOEK,7979",0217891879,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,94,4,,,,,FALSE,,,
500151589,151589,5,KZ,GREENFERN PP,GREENFERN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,31.00142,-29.82835,GEOCODED,TO BE UPDA,TO BE UPDATED,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,59200028,28,TO BE UPDA,TO BE UPDATED,ETHEKWINI,UMLAZI,DURBAN CENTRAL,THE,MANAGER,23,SOBRUN,ROAD,23 SOBRUN ROAD,,OVERPORT,BEREA,4067,"23 SOBRUN ROAD,,OVERPORT,BEREA,4067",POST OFFICE 4067,OVERPORT,4067,"POST OFFICE 4067,OVERPORT,4067",0312088007,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
102324825,0102324825,1,WC,GREENLANDS PREPRIM,GREENLANDS,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.592791,-33.949125,WCED,179,GOODWOOD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100024,24,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE NORTH,CIRCUIT3,ME.J C.L.,FARAO,,CORNER MELBA AND LARK,ROAD, CORNER MELBA AND LARK ROAD,,BISHOP LAVIS,BELLVILLE,7490," CORNER MELBA AND LARK ROAD,BISHOP LAVIS,BELLVILLE,7490",POST OFFICE 7490,BISHOP LAVIS,7490,"POST OFFICE 7490,BISHOP LAVIS,7490",0219347029,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
103008349,0103008349,1,WC,GREENS'COOL EARLY LEARNING CENTRE,GREENS'COOL,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,,N/A,,,WCED,99,CAPE,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,UNKNOWN,NOT APPLICABLE,METROPOLE CENTRAL,TO BE UPDATED,C.V,HENKEMAN,,,,,,SEA POINT,UNKNOWN,8060,"SEA POINT,UNKNOWN,8060",P.O.BOX 60,SEA POINT,8060,"P.O.BOX 60,SEA POINT,8060",0215098652,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,0,FALSE,FALSE,,,TO BE UPDATED,,,,,,,,,FALSE,,,
700130435,130435,7,GT,GREENSIDE PRE-PRIMARY SCHOOL,GREENSIDE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,28.012593,-26.152725,TELKOM 2009,201,RUSTENBURG,DC37,BOJANALA DISTRICT MUNICIPALITY,NW373,RUSTENBURG LOCAL MUNICIPALITY,79400087,87,60319023,RUSTENBURG NU,NOT APPLICABLE,TO BE UPDATED,NOTAPPLICABLE,THE,KOK,7,VARDON,ROAD,7 VARDON ROAD,,GREENSIDE X 1,JOHANNESBURG,2193,"7 VARDON ROAD,GREENSIDE X 1,JOHANNESBURG,2193",POST OFFICE 2193,GREENSIDE,2193,"POST OFFICE 2193,GREENSIDE,2193",0116465969,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
700880006,880006,7,GT,GREENVILLAGE DAY CARE,GREENVILLAGE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,99,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,NOTAPPLICABLE,THE,MANAGER,3090,GREEN,VILLAGE,3090 GREEN VILLAGE,3090 GREEN VILLAGE,,,1865,"3090 GREEN VILLAGE,3090 GREEN VILLAGE,,1865",P.O.BOX 218,DOBSON VILLE,2037,"P.O.BOX 218,DOBSON VILLE,2037",0114403607,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,87,3,,33,79,,27,2,FALSE,,,
200801389,801389,2,EC,GREENVILLE PRESCHOOL,GREENVILLE,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC15,OLIVER TAMBO DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,LUNA,THE,MANAGER,,,,,,,,,,PRIVATE BAG X545,BIZANA,4800,"PRIVATE BAG X545,BIZANA,4800",TO BE UPDATED,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01-Mar-07,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,36,47,2,44,,FALSE,,,
500312983,312983,5,KZ,GREYTOWN CHILD WELFARE PP,GREYTOWN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC23,UTHUKELA DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,UKHAHLAMBA,UMZINYATHI,UMVOTI,THE,MANAGER,61,CATHCART,STREET,61 CATHCART STREET,,,,,"61 CATHCART STREET,,",P.O.BOX 305,GREYTOWN,3250,"P.O.BOX 305,GREYTOWN,3250",0334133174,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,22,2,,,,,FALSE,,,
800031963,800031963,8,MP,GROBLERSDAL PRE PRIMARY SCHOOL,GROBLERSDAL,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,29.39844,-25.16459,NEIMS 2007,98,GROBLERSDAL,DC47,GREATER SEKHUKHUNE DISTRICT MUNICIPALITY,LIM472,ELIAS MOTSOALEDI LOCAL MUNICIPALITY,90305013,13,TO BE UPDA,TO BE UPDATED,NKANGALA,NOT APPLICABLE,GROBLERSDAL,A,LOURENS,2,SYRINGA,STREET,2 SYRINGA STREET,,,GROBLERSDAL,0470,"2 SYRINGA STREET,GROBLERSDAL,0470",P.O.BOX 688,GROBLERSDAL,0470,"P.O.BOX 688,GROBLERSDAL,0470",0132625710,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,MP800031963,0,INCORRECT PROVINCE,,,,,,,,,FALSE,,,
101301041,0101301041,1,WC,GROOT PHESANTEKRAAL PRE-PRIM.,GROOT,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,178,BELLVILLE,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE NORTH,CIRCUIT2,ME. R,BRINK,,GROOT PHESANTEKRAAL,FARM, GROOT PHESANTEKRAAL FARM,,,DURBANVILLE,7551," GROOT PHESANTEKRAAL FARM,DURBANVILLE,7551",P.O.BOX 8,DURBANVILLE,7551,"P.O.BOX 8,DURBANVILLE,7551",0219762114,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
132007674,0132007674,1,WC,GROVENOR PRE-PRIM,THUSANG BANA,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.490596,-33.548936,TELKOM 2009,67,MALMESBURY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100029,29,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE NORTH,CIRCUIT2,J.S,DIXON,3116,GROSVENOR,AVENUE,3116 GROSVENOR AVENUE,,SAXONSEA,ATLANTIS,7349,"3116 GROSVENOR AVENUE,SAXONSEA,ATLANTIS,7349",POST OFFICE 7349,ATLANTIS,7349,"POST OFFICE 7349,ATLANTIS,7349",0215725487,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
445203276,45203276,4,FS,GROWING KIDS,GROWING KIDS,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC17,MOTHEO DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,MOTHEO,40,THE,MANAGER,,,,,,,,9301,9301,POST OFFICE 9301,BLOEMFONTEIN,9301,"POST OFFICE 9301,BLOEMFONTEIN,9301",TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
300074012,74012,3,NC,GUARDIAN ANGEL PRE-PRIMARY SCHOOL,GUARDIAN ANGEL,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,99,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC8,SIYANDA DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,SIYANDA,NOTAPPLICABLE,THE,TO BE UPDATED,,,,,,,,,,P.O.BOX 55,KAKAMAS,8870,"P.O.BOX 55,KAKAMAS,8870",0544310393,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,226,1,,,,,,,FALSE,,,
